Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT,Blk.Max.Area,Area.less.blk,z,Area.filled.w.background,all.area,MID
Serine,200908_Smp_GBTFate2T0_C,Serine_13C-0 15N-0,2.36,36111428,36528,11844741,0,0,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,ok,all ok,36111428,276.098432,2.3,9564276,26547152,1,26547152,30137817,0.8808584908455712
Serine,200908_Smp_GBTFate1Tlong_A,Serine_13C-0 15N-0,2.36,38427748,0,11561821,0,0,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,ok,ok,ok,all ok,38427748,276.098432,2.3,9564276,28863472,1,28863472,32956373,0.8758085120592609
Serine,200908_Smp_GBTFate1Tlong_B,Serine_13C-0 15N-0,2.35,57657736,325118,16367684,0,0,200908,Smp,GBTFate1Tlong,B,NA,96,Fate1,ok,ok,ok,ok,all ok,57657736,276.098432,2.3,9564276,48093460,1,48093460,54084952,0.8892207207653618
Serine,200908_Smp_GBTFate1Tlong_C,Serine_13C-0 15N-0,2.36,22345742,0,7181443,0,0,200908,Smp,GBTFate1Tlong,C,NA,96,Fate1,ok,ok,ok,ok,all ok,22345742,276.098432,2.3,9564276,12781466,1,12781466,14982510,0.8530924391173441
Serine,200908_Smp_GBTFate2Tlong_A,Serine_13C-0 15N-0,2.35,32306994,0,9678823,0,0,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,ok,all ok,32306994,276.098432,2.3,9564276,22742718,1,22742718,26030943,0.8736801428976276
Serine,200908_Smp_GBTFate2Tlong_C,Serine_13C-0 15N-0,2.36,42597680,0,10622613,0,0,200908,Smp,GBTFate2Tlong,C,NA,96,Fate2,ok,ok,ok,ok,all ok,42597680,276.098432,2.3,9564276,33033404,1,33033404,38567319,0.8565128418700818
Serine,200908_Smp_GBTFate1T0_B,Serine_13C-1 15N-0,2.35,6709952,48679,2051815,0,1,200908,Smp,GBTFate1T0,B,NA,0,Fate1,ok,ok,ok,ok,all ok,6709952,277.101786,2.3,202739,6507213,1,6507213,44183377,0.14727740253987376
Serine,200908_Smp_GBTFate1T0_C,Serine_13C-1 15N-0,2.36,1036592,1887137,609818,0,1,200908,Smp,GBTFate1T0,C,NA,0,Fate1,ok,ok,ok,ok,all ok,1036592,277.101786,2.3,202739,833853,1,833853,13777181,0.060524210286560076
Serine,200908_Smp_GBTFate2T0_A,Serine_13C-1 15N-0,2.36,2825564,105623,1098156,0,1,200908,Smp,GBTFate2T0,A,NA,0,Fate2,ok,ok,ok,ok,all ok,2825564,277.101786,2.3,202739,2622825,1,2622825,12684519,0.20677370580626667
Serine,200908_Smp_GBTFate2T0_B,Serine_13C-1 15N-0,2.35,3415245,1151154,1164254,0,1,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,ok,all ok,3415245,277.101786,2.3,202739,3212506,1,3212506,26697252,0.1203309614038179
Serine,200908_Smp_GBTFate2T0_C,Serine_13C-1 15N-0,2.36,3793404,1304494,1623558,0,1,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,ok,all ok,3793404,277.101786,2.3,202739,3590665,1,3590665,30137817,0.11914150915442881
Serine,200908_Smp_GBTFate1Tlong_A,Serine_13C-1 15N-0,2.36,4295640,1298707,1731515,0,1,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,ok,ok,ok,all ok,4295640,277.101786,2.3,202739,4092901,1,4092901,32956373,0.12419148794073911
Serine,200908_Smp_GBTFate1Tlong_B,Serine_13C-1 15N-0,2.35,5765138,1174129,2318336,0,1,200908,Smp,GBTFate1Tlong,B,NA,96,Fate1,ok,ok,ok,ok,all ok,5765138,277.101786,2.3,202739,5562399,1,5562399,54084952,0.10284559372447996
Serine,200908_Smp_GBTFate1Tlong_C,Serine_13C-1 15N-0,2.36,2403783,1025044,759223,0,1,200908,Smp,GBTFate1Tlong,C,NA,96,Fate1,ok,ok,ok,ok,all ok,2403783,277.101786,2.3,202739,2201044,1,2201044,14982510,0.14690756088265583
Serine,200908_Smp_GBTFate2Tlong_A,Serine_13C-1 15N-0,2.35,3490964,1043307,1404099,0,1,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,ok,all ok,3490964,277.101786,2.3,202739,3288225,1,3288225,26030943,0.12631985710237237
Serine,200908_Smp_GBTFate2Tlong_C,Serine_13C-1 15N-0,2.36,5679186,708901,1618248,0,1,200908,Smp,GBTFate2Tlong,C,NA,96,Fate2,ok,ok,ok,ok,all ok,5679186,277.101786,2.3,202739,5476447,1,5476447,38567319,0.14199708826014065
