Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
L-Arginine,200605_Std_H2OinMatrix_2,L-Arginine_13C-0 15N-1,19.08,10772,0,3687,-1.8,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full1,L-Arginine_13C-0 15N-1,18.64,123982,0,10366,-1.4,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full2,L-Arginine_13C-0 15N-1,18.85,89500,0,8302,-1.3,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full3,L-Arginine_13C-0 15N-1,19.22,40078,0,5790,-0.4,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full4,L-Arginine_13C-0 15N-1,19.02,101058,0,8928,-3.6,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full5,L-Arginine_13C-0 15N-1,19.29,105552,0,8131,-2.7,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full6pos,L-Arginine_13C-0 15N-1,18.99,18303,8873,3022,-3.2,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half1,L-Arginine_13C-0 15N-1,18.83,18320,0,5738,-1.5,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half2,L-Arginine_13C-0 15N-1,17.74,0,0,0,#N/A,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half3,L-Arginine_13C-0 15N-1,19.03,3945,0,3886,-0.3,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half4,L-Arginine_13C-0 15N-1,19.12,9233,0,4604,-1.1,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half5,L-Arginine_13C-0 15N-1,19.19,7919,0,3992,-1,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half6pos,L-Arginine_13C-0 15N-1,19.04,12153,0,3092,1,L-Arginine
L-Arginine,200605_Poo_QC2_1,L-Arginine_13C-0 15N-1,18.7,884960,0,41791,-2.2,L-Arginine
L-Arginine,200605_Poo_QC2_2,L-Arginine_13C-0 15N-1,18.85,654805,0,22582,-2.1,L-Arginine
L-Arginine,200605_Poo_QC2_3,L-Arginine_13C-0 15N-1,18.88,580956,0,22199,-2.8,L-Arginine
L-Arginine,200605_Poo_QC2_4,L-Arginine_13C-0 15N-1,18.99,894352,0,29771,-3.8,L-Arginine
