Replicate.Name,Compound.Name,Height,IR,S.N,rawArea
190730_Smp_GBT-K2-M0nM_C,13C-15N Glycine Betaine,145843,65.08875461,4.406057519,2628349
190730_Smp_GBT-K2-M0nM_C,Glycine Betaine,42723700,129.7354235,3.880337469,759174464
190730_Smp_GBT-K2-M10nM_A,13C-15N Glycine Betaine,22653286,135.4681884,248.5497661,384389088
190730_Smp_GBT-K2-M10nM_A,Glycine Betaine,27079346,127.9993707,2.98278018,481668160
190730_Smp_GBT-K2-M10nM_B,13C-15N Glycine Betaine,12527924,129.9886744,135.5906737,218139584
190730_Smp_GBT-K2-M10nM_B,Glycine Betaine,39774704,131.30184,3.991537202,716464640
190730_Smp_GBT-K2-M10nM_C,13C-15N Glycine Betaine,16442843,133.4375889,113.865105,291880448
190730_Smp_GBT-K2-M10nM_C,Glycine Betaine,30799700,128.3365111,3.391374389,553449664
190730_Smp_GBT-K2-M2000nM_A,13C-15N Glycine Betaine,46883508,135.0194423,170.1671414,806444800
190730_Smp_GBT-K2-M2000nM_A,Glycine Betaine,33732336,137.8413269,3.396746505,607900928
190730_Smp_GBT-K2-M2000nM_B,13C-15N Glycine Betaine,47725876,135.1259688,82.0433981,775753728
190730_Smp_GBT-K2-M2000nM_B,Glycine Betaine,28356580,140.3886468,3.053087485,480282336
190730_Smp_GBT-K2-M2000nM_C,13C-15N Glycine Betaine,42174332,137.7849622,167.3550956,732725824
190730_Smp_GBT-K2-M2000nM_C,Glycine Betaine,31364706,134.4769272,3.268034376,573636480
190730_Smp_GBT-K2-M2000nM_C1,13C-15N Glycine Betaine,52032132,133.65253,145.0342761,875331584
190730_Smp_GBT-K2-M2000nM_C1,Glycine Betaine,39721084,131.8093836,3.721623692,686740992
190730_Smp_GBT-K2-M2000nM_C10,13C-15N Glycine Betaine,49333272,134.2651601,144.145151,874031552
190730_Smp_GBT-K2-M2000nM_C10,Glycine Betaine,77409824,130.3412421,5.98850818,1437199104
190730_Smp_GBT-K2-M2000nM_C11,13C-15N Glycine Betaine,48527864,134.951368,106.7860307,850341120
190730_Smp_GBT-K2-M2000nM_C11,Glycine Betaine,36905476,134.1907889,3.396111852,722639808
190730_Smp_GBT-K2-M2000nM_C12,13C-15N Glycine Betaine,97736640,134.2521831,238.8005305,1765663232
190730_Smp_GBT-K2-M2000nM_C12,Glycine Betaine,37415512,136.8968493,3.458018865,754901248
190730_Smp_GBT-K2-M2000nM_C13,13C-15N Glycine Betaine,127671168,129.7988305,96.16377633,2420792320
190730_Smp_GBT-K2-M2000nM_C13,Glycine Betaine,36537976,137.6736012,3.493864157,712730176
190730_Smp_GBT-K2-M2000nM_C14,13C-15N Glycine Betaine,72447072,134.7442311,96.45502919,1284419200
190730_Smp_GBT-K2-M2000nM_C14,Glycine Betaine,37253876,129.2448995,3.426196503,728132160
190730_Smp_GBT-K2-M2000nM_C2,13C-15N Glycine Betaine,45502636,131.8205439,153.7292929,774154240
190730_Smp_GBT-K2-M2000nM_C2,Glycine Betaine,50817168,135.2831058,4.582514075,882539904
190730_Smp_GBT-K2-M2000nM_C3,13C-15N Glycine Betaine,46047824,134.7387614,765.5861038,777756864
190730_Smp_GBT-K2-M2000nM_C3,Glycine Betaine,68649528,125.0772141,5.64296528,1181443968
190730_Smp_GBT-K2-M2000nM_C4,13C-15N Glycine Betaine,46061760,133.2011292,140.457847,774931136
190730_Smp_GBT-K2-M2000nM_C4,Glycine Betaine,35421720,130.26388,3.320435016,634811840
190730_Smp_GBT-K2-M2000nM_C5,13C-15N Glycine Betaine,84863896,135.4862193,145.2117897,1449901440
190730_Smp_GBT-K2-M2000nM_C5,Glycine Betaine,32658250,129.6620141,3.186808401,599779264
190730_Smp_GBT-K2-M2000nM_C6,13C-15N Glycine Betaine,119403952,133.2654826,158.0843318,2100035456
190730_Smp_GBT-K2-M2000nM_C6,Glycine Betaine,33201368,131.6085267,3.294225142,596667392
190730_Smp_GBT-K2-M2000nM_C7,13C-15N Glycine Betaine,50846096,134.1948424,105.3790725,883150080
190730_Smp_GBT-K2-M2000nM_C7,Glycine Betaine,38505344,138.2696909,3.809669394,716551424
190730_Smp_GBT-K2-M2000nM_C7,Glycine Betaine,37624388,137.8851488,3.117498193,690256640
190730_Smp_GBT-K2-M2000nM_C8,13C-15N Glycine Betaine,51366424,134.6415351,140.4248128,871359488
190730_Smp_GBT-K2-M2000nM_C8,Glycine Betaine,47198288,139.9200377,4.240406117,884578816
190730_Smp_GBT-K2-M2000nM_C9,13C-15N Glycine Betaine,48049952,135.0520469,108.64539,848825344
190730_Smp_GBT-K2-M2000nM_C9,Glycine Betaine,55221212,136.4954534,4.672123315,1033513408
190730_Smp_GBT-K2-M200nM_A,13C-15N Glycine Betaine,35773564,134.5076155,249.0689453,582885120
190730_Smp_GBT-K2-M200nM_A,Glycine Betaine,30799076,126.2116368,2.827606118,531128480
190730_Smp_GBT-K2-M200nM_B,13C-15N Glycine Betaine,33509996,137.3241808,81.81821455,555929344
190730_Smp_GBT-K2-M200nM_B,Glycine Betaine,23642750,126.1797185,2.628588718,407022208
190730_Smp_GBT-K2-M200nM_C,13C-15N Glycine Betaine,39465576,132.1521809,97.90214177,671507520
190730_Smp_GBT-K2-M200nM_C,Glycine Betaine,47791852,124.1599885,3.804011465,887695744
190730_Smp_GBT-K2-M2nM_A,13C-15N Glycine Betaine,13977875,132.1960666,101.1645726,228732112
190730_Smp_GBT-K2-M2nM_A,Glycine Betaine,42559912,127.3919922,4.100842813,735672576
190730_Smp_GBT-K2-M2nM_B,13C-15N Glycine Betaine,7900989,132.6389337,109.1846288,136211696
190730_Smp_GBT-K2-M2nM_B,Glycine Betaine,43755224,132.410734,3.909658066,799528320
190730_Smp_GBT-K2-M2nM_C,13C-15N Glycine Betaine,12698591,134.3677138,74.70552031,222897360
190730_Smp_GBT-K2-M2nM_C,Glycine Betaine,47107184,139.6904025,4.24313007,838042816
190730_Smp_GBT-K2-M50nM_A,13C-15N Glycine Betaine,25300342,135.9776757,77.46741945,408293504
190730_Smp_GBT-K2-M50nM_A,Glycine Betaine,27473504,134.0486768,2.932404936,469449056
190730_Smp_GBT-K2-M50nM_B,13C-15N Glycine Betaine,42293084,131.6789131,209.4018309,730539072
190730_Smp_GBT-K2-M50nM_B,Glycine Betaine,37431764,129.5110559,3.73898671,700230016
190730_Smp_GBT-K2-M50nM_C,13C-15N Glycine Betaine,40514644,136.3112556,428.9834089,679672320
190730_Smp_GBT-K2-M50nM_C,Glycine Betaine,29222432,129.8072052,2.920619393,523222080
190730_Smp_GBT-K2-M5nM_A,13C-15N Glycine Betaine,19591274,131.7814163,152.6747621,335220032
190730_Smp_GBT-K2-M5nM_A,Glycine Betaine,31382650,137.4547929,3.321845844,576554816
190730_Smp_GBT-K2-M5nM_B,13C-15N Glycine Betaine,12047758,135.4151478,58.37927103,214185056
190730_Smp_GBT-K2-M5nM_B,Glycine Betaine,37997548,130.7581731,3.507018467,707696576
190730_Smp_GBT-K2-M5nM_C,13C-15N Glycine Betaine,21439804,128.0787541,248.2919024,359037920
190730_Smp_GBT-K2-M5nM_C,Glycine Betaine,46992952,123.0595089,4.089860976,828060544
