Replicate Name,run order,a kind of type,A kind of ID,dilution
200605_Blk_GBTFate1MBlk-pos_B,78,Blk,Blk,1
200605_Poo_QC2_1,17,QC,QC,1
200605_Poo_QC2_2,65,QC,QC,1
200605_Poo_QC2_3,123,QC,QC,1
200605_Poo_QC2_4,166,QC,QC,1
200605_Poo_QC2_5,197,QC,QC,1
200605_Poo_TruePooGBT_Full1,19,Poo,Poo,1
200605_Poo_TruePooGBT_Full2,66,Poo,Poo,1
200605_Poo_TruePooGBT_Full3,122,Poo,Poo,1
200605_Poo_TruePooGBT_Full4,167,Poo,Poo,1
200605_Poo_TruePooGBT_Full5,199,Poo,Poo,1
200605_Poo_TruePooGBT_Half1,18,Poo,Poo,0.5
200605_Poo_TruePooGBT_Half2,67,Poo,Poo,0.5
200605_Poo_TruePooGBT_Half3,121,Poo,Poo,0.5
200605_Poo_TruePooGBT_Half4,165,Poo,Poo,0.5
200605_Poo_TruePooGBT_Half5,198,Poo,Poo,0.5
200605_Smp_Dilution_1,11,Smp,Smp,0.090909091
200605_Smp_Dilution_2,12,Smp,Smp,0.166666667
200605_Smp_Dilution_3,13,Smp,Smp,0.166666667
200605_Smp_Dilution_4,14,Smp,Smp,0.5
200605_Smp_Dilution_5,15,Smp,Smp,1
200605_Smp_GBTFate1MT0-IS_A,149,Smp,F1T0,1
200605_Smp_GBTFate1MT0-IS_B,105,Smp,F1T0,1
200605_Smp_GBTFate1MT0-IS_C,181,Smp,F1T0,1
200605_Smp_GBTFate1MT0-neg_A,151,Smp,F1T0,1
200605_Smp_GBTFate1MT0-neg_B,107,Smp,F1T0,1
200605_Smp_GBTFate1MT0-neg_C,183,Smp,F1T0,1
200605_Smp_GBTFate1MT0-pos_A,150,Smp,F1T0,1
200605_Smp_GBTFate1MT0-pos_B,106,Smp,F1T0,1
200605_Smp_GBTFate1MT0-pos_C,182,Smp,F1T0,1
200605_Smp_GBTFate1MT12-IS_A,173,Smp,F1T12,1
200605_Smp_GBTFate1MT12-IS_B,61,Smp,F1T12,1
200605_Smp_GBTFate1MT12-IS_C,189,Smp,F1T12,1
200605_Smp_GBTFate1MT12-neg_A,175,Smp,F1T12,1
200605_Smp_GBTFate1MT12-neg_B,63,Smp,F1T12,1
200605_Smp_GBTFate1MT12-neg_C,191,Smp,F1T12,1
200605_Smp_GBTFate1MT12-pos_A,174,Smp,F1T12,1
200605_Smp_GBTFate1MT12-pos_B,62,Smp,F1T12,1
200605_Smp_GBTFate1MT12-pos_C,190,Smp,F1T12,1
200605_Smp_GBTFate1MT36-IS_A,53,Smp,F1T36,1
200605_Smp_GBTFate1MT36-IS_B,69,Smp,F1T36,1
200605_Smp_GBTFate1MT36-IS_C,129,Smp,F1T36,1
200605_Smp_GBTFate1MT36-neg_A,55,Smp,F1T36,1
200605_Smp_GBTFate1MT36-neg_B,71,Smp,F1T36,1
200605_Smp_GBTFate1MT36-neg_C,131,Smp,F1T36,1
200605_Smp_GBTFate1MT36-pos_A,54,Smp,F1T36,1
200605_Smp_GBTFate1MT36-pos_B,70,Smp,F1T36,1
200605_Smp_GBTFate1MT36-pos_C,130,Smp,F1T36,1
200605_Smp_GBTFate1MT4-IS_A,41,Smp,F1T4,1
200605_Smp_GBTFate1MT4-IS_B,57,Smp,F1T4,1
200605_Smp_GBTFate1MT4-IS_C,89,Smp,F1T4,1
200605_Smp_GBTFate1MT4-neg_A,43,Smp,F1T4,1
200605_Smp_GBTFate1MT4-neg_B,59,Smp,F1T4,1
200605_Smp_GBTFate1MT4-pos_A,42,Smp,F1T4,1
200605_Smp_GBTFate1MT4-pos_B,58,Smp,F1T4,1
200605_Smp_GBTFate1MT50-IS_A,97,Smp,F1T50,1
200605_Smp_GBTFate1MT50-IS_B,101,Smp,F1T50,1
200605_Smp_GBTFate1MT50-IS_C,169,Smp,F1T50,1
200605_Smp_GBTFate1MT50-neg_A,99,Smp,F1T50,1
200605_Smp_GBTFate1MT50-neg_B,103,Smp,F1T50,1
200605_Smp_GBTFate1MT50-neg_C,171,Smp,F1T50,1
200605_Smp_GBTFate1MT50-pos_A,98,Smp,F1T50,1
200605_Smp_GBTFate1MT50-pos_B,102,Smp,F1T50,1
200605_Smp_GBTFate1MT50-pos_C,170,Smp,F1T50,1
200605_Smp_GBTFate1MT8-IS_A,185,Smp,F1T8,1
200605_Smp_GBTFate1MT8-IS_B,25,Smp,F1T8,1
200605_Smp_GBTFate1MT8-IS_C,85,Smp,F1T8,1
200605_Smp_GBTFate1MT8-neg_A,187,Smp,F1T8,1
200605_Smp_GBTFate1MT8-neg_B,27,Smp,F1T8,1
200605_Smp_GBTFate1MT8-neg_C,87,Smp,F1T8,1
200605_Smp_GBTFate1MT8-pos_A,186,Smp,F1T8,1
200605_Smp_GBTFate1MT8-pos_B,26,Smp,F1T8,1
200605_Smp_GBTFate1MT8-pos_C,86,Smp,F1T8,1
200605_Smp_GBTFate1MTlong-IS_A,73,Smp,F1Tlong,1
200605_Smp_GBTFate1MTlong-IS_B,49,Smp,F1Tlong,1
200605_Smp_GBTFate1MTlong-IS_C,81,Smp,F1Tlong,1
200605_Smp_GBTFate1MTlong-neg_A,75,Smp,F1Tlong,1
200605_Smp_GBTFate1MTlong-neg_B,51,Smp,F1Tlong,1
200605_Smp_GBTFate1MTlong-neg_C,83,Smp,F1Tlong,1
200605_Smp_GBTFate1MTlong-pos_A,74,Smp,F1Tlong,1
200605_Smp_GBTFate1MTlong-pos_B,50,Smp,F1Tlong,1
200605_Smp_GBTFate1MTlong-pos_C,82,Smp,F1Tlong,1
200605_Smp_GBTFate2MT0-IS_A,93,Smp,F2T0,1
200605_Smp_GBTFate2MT0-IS_B,37,Smp,F2T0,1
200605_Smp_GBTFate2MT0-IS_C,113,Smp,F2T0,1
200605_Smp_GBTFate2MT0-neg_A,95,Smp,F2T0,1
200605_Smp_GBTFate2MT0-neg_B,39,Smp,F2T0,1
200605_Smp_GBTFate2MT0-neg_C,115,Smp,F2T0,1
200605_Smp_GBTFate2MT0-pos_A,94,Smp,F2T0,1
200605_Smp_GBTFate2MT0-pos_B,38,Smp,F2T0,1
200605_Smp_GBTFate2MT0-pos_C,114,Smp,F2T0,1
200605_Smp_GBTFate2MT12-IS_A,137,Smp,F2T12,1
200605_Smp_GBTFate2MT12-IS_B,157,Smp,F2T12,1
200605_Smp_GBTFate2MT12-IS_C,29,Smp,F2T12,1
200605_Smp_GBTFate2MT12-neg_A,139,Smp,F2T12,1
200605_Smp_GBTFate2MT12-neg_B,159,Smp,F2T12,1
200605_Smp_GBTFate2MT12-neg_C,31,Smp,F2T12,1
200605_Smp_GBTFate2MT12-pos_A,138,Smp,F2T12,1
200605_Smp_GBTFate2MT12-pos_B,158,Smp,F2T12,1
200605_Smp_GBTFate2MT12-pos_C,30,Smp,F2T12,1
200605_Smp_GBTFate2MT24-IS_A,33,Smp,F2T24,1
200605_Smp_GBTFate2MT24-IS_B,125,Smp,F2T24,1
200605_Smp_GBTFate2MT24-IS_C,161,Smp,F2T24,1
200605_Smp_GBTFate2MT24-neg_A,35,Smp,F2T24,1
200605_Smp_GBTFate2MT24-neg_B,127,Smp,F2T24,1
200605_Smp_GBTFate2MT24-neg_C,163,Smp,F2T24,1
200605_Smp_GBTFate2MT24-pos_A,34,Smp,F2T24,1
200605_Smp_GBTFate2MT24-pos_B,126,Smp,F2T24,1
200605_Smp_GBTFate2MT24-pos_C,162,Smp,F2T24,1
200605_Smp_GBTFate2MT48-IS_A,193,Smp,F2T48,1
200605_Smp_GBTFate2MT48-IS_B,145,Smp,F2T48,1
200605_Smp_GBTFate2MT48-IS_C,21,Smp,F2T48,1
200605_Smp_GBTFate2MT48-neg_A,195,Smp,F2T48,1
200605_Smp_GBTFate2MT48-neg_B,147,Smp,F2T48,1
200605_Smp_GBTFate2MT48-neg_C,23,Smp,F2T48,1
200605_Smp_GBTFate2MT48-pos_A,194,Smp,F2T48,1
200605_Smp_GBTFate2MT48-pos_B,146,Smp,F2T48,1
200605_Smp_GBTFate2MT48-pos_C,22,Smp,F2T48,1
200605_Smp_GBTFate2MT5-IS_A,45,Smp,F2T5,1
200605_Smp_GBTFate2MT5-IS_B,177,Smp,F2T5,1
200605_Smp_GBTFate2MT5-IS_C,133,Smp,F2T5,1
200605_Smp_GBTFate2MT5-neg_A,47,Smp,F2T5,1
200605_Smp_GBTFate2MT5-neg_B,179,Smp,F2T5,1
200605_Smp_GBTFate2MT5-neg_C,135,Smp,F2T5,1
200605_Smp_GBTFate2MT5-pos_A,46,Smp,F2T5,1
200605_Smp_GBTFate2MT5-pos_B,178,Smp,F2T5,1
200605_Smp_GBTFate2MT5-pos_C,134,Smp,F2T5,1
200605_Smp_GBTFate2MTlong-IS_A,109,Smp,F2Tlong,1
200605_Smp_GBTFate2MTlong-IS_B,153,Smp,F2Tlong,1
200605_Smp_GBTFate2MTlong-IS_C,141,Smp,F2Tlong,1
200605_Smp_GBTFate2MTlong-neg_A,111,Smp,F2Tlong,1
200605_Smp_GBTFate2MTlong-neg_B,155,Smp,F2Tlong,1
200605_Smp_GBTFate2MTlong-neg_C,143,Smp,F2Tlong,1
200605_Smp_GBTFate2MTlong-pos_A,110,Smp,F2Tlong,1
200605_Smp_GBTFate2MTlong-pos_B,154,Smp,F2Tlong,1
200605_Smp_GBTFate2MTlong-pos_C,142,Smp,F2Tlong,1
200605_Std_4uMStdsMix1InH2O_1,5,Std,Std,1
200605_Std_4uMStdsMix1InH2O_2,202,Std,Std,1
200605_Std_4uMStdsMix1InMatrix_1,7,Std,Std,1
200605_Std_4uMStdsMix1InMatrix_2,204,Std,Std,1
200605_Std_4uMStdsMix2InH2O_1,6,Std,Std,1
200605_Std_4uMStdsMix2InH2O_2,203,Std,Std,1
200605_Std_4uMStdsMix2InMatrix_1,8,Std,Std,1
200605_Std_4uMStdsMix2InMatrix_2,205,Std,Std,1
200605_Std_H2OinMatrix_1,4,Std,Std,1
200605_Std_H2OinMatrix_2,201,Std,Std,1
200605_Poo_TruePooGBT_Full6pos,206,Poo,Poo,1
200605_Poo_TruePooGBT_Half6pos,207,Poo,Poo,0.5
