Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Amino Acids,200908_Smp_GBTFate1Tlong_A,Aspartic Acid,2.7,364840,4647853,675155,-1.1,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_B,Aspartic Acid,2.73,17713026,519476,9271596,-0.9,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_C,Aspartic Acid,2.56,21727378,0,7857802,-1.1,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_A,Aspartic Acid,2.55,183057632,4138829,58668600,-0.6,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_B,Aspartic Acid,2.73,11290719,0,5194042,-1.5,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-1,Aspartic Acid,2.59,65504640,2486647,41164512,-0.9,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-1,Aspartic Acid,2.73,47325444,3348448,22223352,-1.1,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-1,Aspartic Acid,2.57,64391860,2059665,35809440,-1.2,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_C,Aspartic Acid,2.73,12929320,1408915,6515668,-0.7,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-1,Aspartic Acid,2.73,85702248,7242180,42239344,-1,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-2,Aspartic Acid,2.56,92599032,2856474,35870844,-1.2,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-2,Aspartic Acid,2.72,39261260,3600116,20101408,-0.7,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-2,Aspartic Acid,2.55,88046320,3074616,42367696,-0.8,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-2,Aspartic Acid,2.72,131449080,3423333,74926104,-1.6,Amino Acids
Amino Acids,191001_Std_AA_AA-IS,Glutamic Acid,2.85,160101088,1438513,57333116,-0.3,Amino Acids
