Compound.Name,Emperical.Formula,Column,m.z,z,C,N,this.N,possibilities,names.isotopes,iso.mz,Compound.and.Iso.name
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-40 15N-1,934.6737959999999,Chlorophyll_13C-40 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-41 15N-1,935.67715,Chlorophyll_13C-41 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-42 15N-1,936.6805039999999,Chlorophyll_13C-42 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-43 15N-1,937.683858,Chlorophyll_13C-43 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-44 15N-1,938.6872119999999,Chlorophyll_13C-44 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-45 15N-1,939.690566,Chlorophyll_13C-45 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-46 15N-1,940.6939199999999,Chlorophyll_13C-46 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-47 15N-1,941.697274,Chlorophyll_13C-47 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-48 15N-1,942.7006279999999,Chlorophyll_13C-48 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-49 15N-1,943.703982,Chlorophyll_13C-49 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-50 15N-1,944.7073359999999,Chlorophyll_13C-50 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-51 15N-1,945.71069,Chlorophyll_13C-51 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-52 15N-1,946.714044,Chlorophyll_13C-52 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-53 15N-1,947.717398,Chlorophyll_13C-53 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-54 15N-1,948.720752,Chlorophyll_13C-54 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-55 15N-1,949.724106,Chlorophyll_13C-55 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-0 15N-2,895.536672,Chlorophyll_13C-0 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-1 15N-2,896.5400259999999,Chlorophyll_13C-1 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-2 15N-2,897.54338,Chlorophyll_13C-2 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-3 15N-2,898.5467339999999,Chlorophyll_13C-3 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-4 15N-2,899.550088,Chlorophyll_13C-4 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-5 15N-2,900.5534419999999,Chlorophyll_13C-5 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-6 15N-2,901.556796,Chlorophyll_13C-6 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-7 15N-2,902.5601499999999,Chlorophyll_13C-7 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-8 15N-2,903.563504,Chlorophyll_13C-8 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-9 15N-2,904.5668579999999,Chlorophyll_13C-9 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-10 15N-2,905.570212,Chlorophyll_13C-10 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-11 15N-2,906.5735659999999,Chlorophyll_13C-11 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-12 15N-2,907.57692,Chlorophyll_13C-12 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-13 15N-2,908.5802739999999,Chlorophyll_13C-13 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-14 15N-2,909.583628,Chlorophyll_13C-14 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-15 15N-2,910.5869819999999,Chlorophyll_13C-15 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-16 15N-2,911.590336,Chlorophyll_13C-16 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-17 15N-2,912.5936899999999,Chlorophyll_13C-17 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-18 15N-2,913.597044,Chlorophyll_13C-18 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-19 15N-2,914.6003979999999,Chlorophyll_13C-19 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-20 15N-2,915.603752,Chlorophyll_13C-20 15N-2
