Experiment,Timepoint,Incubation time (hr),Metabolite,Isotopologue,C.lab,N.lab,iso.mz,ionization,nM.in.Sample.ave,nM.in.sample.sd,MID.mean,MID.sd
Fate1,36,36,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.4928208247488244,0.08374467031273936,0.9874639045612118,0.001379647865752075
Fate1,4,4.5,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.31734255983051957,0.11067263910940321,0.9894359581312614,0.0020722323335301013
Fate1,50,50,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.616618330068183,0.07821429506974713,0.9841508907044866,0.0012445686282054553
Fate1,8,9,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.4141792975011642,0.033912167417247924,0.9899796063549081,0.0016209204810255836
Fate1,96,98,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.9600821639246325,0.3184856024464507,0.9847077972125599,0.001831155529140675
Fate2,0,0.3,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.18783540902349322,0.04995825077700768,0.9924486564375641,0.00655088734053357
Fate2,12,13,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.26832643012223845,0.04223656734414463,0.9916633916831544,0.007241972237102769
Fate2,24,25,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.28895957113270215,0.03498453884816979,0.9908217324354492,0.0012687687864421757
Fate2,48,51,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.3324005451733241,0.03216257528694636,0.993608915235988,0.00566900445085228
Fate2,5,6,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.25259968247794057,0.1410662752118052,0.9942118165979441,0.0055906838543573825
Fate2,96,100,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.20537343395202232,0.026934322840172935,0.9972402149546226,0.0047800879165625035
Fate1,0,0.5,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.0041970053872434025,0.0015877833407852882,0.010948072666381524,8.185644031261719e-4
Fate1,12,12.5,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.003859677892916946,0.002358638064637415,0.010959229085658441,0.0027200177416406173
Fate1,36,36,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.006335704824185245,0.001693724140292526,0.01253609543878818,0.001379647865752071
Fate1,4,4.5,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.003444855967197656,0.0015289282928053005,0.01056404186873864,0.002072232333530082
Fate1,50,50,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.00997523886796163,0.0018229264814578624,0.015849109295513444,0.0012445686282054683
Fate1,8,9,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.004160056832335781,4.394746487106215e-4,0.01002039364509187,0.0016209204810255368
Fate1,96,98,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.01531161749649961,0.007102379283395313,0.015292202787440106,0.00183115552914068
