type,SampID,Experiment,Timepoint,ionization,runDate,N.lab,C.lab,Precursor Ion Name,Protein Name,Fraction1,iso.mz,MID.mean,MID.sd,Area.filled.w.background.mean,Area.filled.w.background.sd
Smp,GBTFate1MT36,Fate1,36,pos,200612,1,3,L-Tryptophan_13C-3 15N-1,L-Tryptophan,CyanoAq,209.104801,0.0028079899110352757,0.004863581193053909,9247,16016.273817589408
Smp,GBTFate1MT36,Fate1,36,pos,200612,1,5,Methylthioadenosine_13C-5 15N-1,Methylthioadenosine,CyanoAq,304.111193,0,0,0,0
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,0,Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,CyanoAq,232.154884,0.9564430485422876,0.03774621113559217,196306,30060.122355040407
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,0,L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,CyanoAq,166.086804,0.9166208122944137,0.010138497416489456,7695216.666666667,3798156.1171142417
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,0,L-Tryptophan_13C-0 15N-0,L-Tryptophan,CyanoAq,205.097703,0.8981388049556178,0.00975167484717583,911632.3333333334,435747.3790011058
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,0,Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,CyanoAq,298.097387,0.908471152043447,0.018029665154608847,275315,155087.1061403881
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,0,Xanthine_13C-0 15N-0,Xanthine,CyanoAq,153.041251,1,0,1304579,644461.9447096934
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,1,Butyrylcarnitine_13C-1 15N-0,Butyrylcarnitine,CyanoAq,233.158238,0.04355695145771239,0.03774621113559217,9783,8640.314635474799
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,1,L-Phenylalanine_13C-1 15N-0,L-Phenylalanine,CyanoAq,167.090158,0.07774017695697436,0.009459943742830912,672466.6666666666,407350.2657386311
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,1,L-Tryptophan_13C-1 15N-0,L-Tryptophan,CyanoAq,206.101057,0.10028335685001599,0.011913545951599514,98087,34674.99714491697
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,1,Methylthioadenosine_13C-1 15N-0,Methylthioadenosine,CyanoAq,299.100741,0.09152884795655307,0.018029665154608795,27472.666666666668,14995.893615698044
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,2,L-Phenylalanine_13C-2 15N-0,L-Phenylalanine,CyanoAq,168.093512,0.00433957860993514,9.976522856301132e-4,36236.333333333336,19222.739979860657
Smp,GBTFate1MT4,Fate1,4,pos,200612,0,2,L-Tryptophan_13C-2 15N-0,L-Tryptophan,CyanoAq,207.104411,5.218706262769261e-4,9.039064396894255e-4,811,1404.6932049383595
Smp,GBTFate1MT4,Fate1,4,pos,200612,1,0,L-Phenylalanine_13C-0 15N-1,L-Phenylalanine,CyanoAq,167.08384,0.001299432138676799,0.0011425993525970965,13330,14320.452192581071
Smp,GBTFate1MT4,Fate1,4,pos,200612,1,0,L-Tryptophan_13C-0 15N-1,L-Tryptophan,CyanoAq,206.094739,0.0010559675680893164,0.0018289894790756438,1641,2842.2953752205276
Smp,GBTFate1MT4,Fate1,4,pos,200612,1,3,L-Tryptophan_13C-3 15N-1,L-Tryptophan,CyanoAq,209.104801,0,0,0,0
Smp,GBTFate1MT4,Fate1,4,pos,200612,1,5,Methylthioadenosine_13C-5 15N-1,Methylthioadenosine,CyanoAq,304.111193,0,0,0,0
Smp,GBTFate1MT50,Fate1,50,pos,200612,0,0,Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,CyanoAq,232.154884,0.9461079234285887,0.010210114720543284,324431.6666666667,65447.25429178319
Smp,GBTFate1MT50,Fate1,50,pos,200612,0,0,L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,CyanoAq,166.086804,0.9133123682668907,0.004945404959780387,15508557,4267458.432551628
