MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
Aspartic acid_13C-0 15N-0,Aspartic acid,Fate2,96,Smp,A,0.9576243060629309,1000,2,100,49,0.23671196013467571
Aspartic acid_13C-0 15N-0,Aspartic acid,Fate2,96,Smp,B,0.9944691715308173,1000,2,100,49,0.24581951961346427
Aspartic acid_13C-0 15N-0,Aspartic acid,Fate2,96,Smp,C,1.0032213458294363,1000,2,100,49,0.24798294040442562
Aspartic acid_13C-0 15N-0,Aspartic acid,Fate1,NA,Blk,A,NA,NA,NA,NA,NA,NA
Aspartic acid_13C-0 15N-0,Aspartic acid,Fate1,NA,Blk,B,NA,NA,NA,NA,NA,NA
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,0,Smp,A,0.4863316442924904,900,2,0.5,0,0.12021469804717973
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,0,Smp,B,0.42619860469408316,900,2,0.5,0,0.10535061243231476
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,0,Smp,C,0.5682580297301679,900,1.95,0.5,0,0.1440674955646849
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,12,Smp,A,0.4410723619455294,1930,2,12.5,3.5,0.10902720690810894
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,12,Smp,B,0.3292832455972934,1930,2,12.5,3.5,0.08139442786837629
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,12,Smp,C,0.4149001812499711,1930,2,12.5,3.5,0.10255779280257618
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,36,Smp,A,0.6931954749890055,1900,2,36,23.5,0.17134867881094898
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,36,Smp,B,0.5867608865087672,1900,2,36,23.5,0.1450394676664805
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,36,Smp,C,0.7830336755372597,1900,2,36,23.5,0.19355548414380344
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,4,Smp,A,0.3412936539251697,1200,2,4.5,4.25,0.08436324066824961
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,4,Smp,B,0.5027373110925831,1200,2,4.5,4.25,0.12426996013793865
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,4,Smp,C,0.41859645907486176,1200,2,4.5,4.25,0.10347146339718484
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,50,Smp,A,0.7252635581717913,900,2,50,14,0.1792754813992912
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,50,Smp,B,0.5924900397323771,900,2,50,14,0.1464556379546472
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,50,Smp,C,0.8067885804590538,900,2,50,14,0.19942737990840528
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,8,Smp,A,0.3589371119817926,1600,2,9,4.5,0.08872446825373938
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,8,Smp,B,0.6050305087978858,1600,2,9,4.5,0.14955547470138672
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,8,Smp,C,0.5597757152781878,1600,2,9,4.5,0.1383690931405643
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,96,Smp,A,0.9960224170965942,800,1.9,98,48,0.2591615381130353
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,96,Smp,B,1.2549641880797058,800,1.8,98,48,0.3446782382638469
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate1,96,Smp,C,1.9170442131828282,800,2,98,48,0.47386776890928606
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate2,0,Smp,A,0.3674475279726563,700,2,0.3,0,0.09082812961446768
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate2,0,Smp,B,0.3374167241098804,700,2,0.3,0,0.08340491531030764
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate2,12,Smp,A,0.7175031204938309,1900,2,13,7,0.17735720467780175
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate2,12,Smp,B,0.4428828708182854,1900,2,13,7,0.10947474056133592
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate2,12,Smp,C,0.39768097817328774,1900,2,13,7,0.09830143539139441
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate2,24,Smp,A,0.39125345406102663,700,2,25,12,0.09671263713116497
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate2,24,Smp,B,0.3558733571293175,700,2,25,12,0.08796714890427224
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate2,24,Smp,C,0.46176060758358467,700,2,25,12,0.11414106538656102
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate2,48,Smp,A,0.42482973258193696,900,2,51,26,0.1050122454978204
beta-Alanine_13C-0 15N-0,beta-Alanine,Fate2,48,Smp,B,0.41786554385043007,900,2,51,26,0.10329079089924165
