MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
Trehalose_13C-0,Trehalose,Fate1,12,Smp,B,0.6201356438191222,1930,2,12.5,3.5,0.1532892626768361
Trehalose_13C-0,Trehalose,Fate1,12,Smp,C,0.3104625703835947,1930,2,12.5,3.5,0.07674220789788617
Trehalose_13C-0,Trehalose,Fate1,36,Smp,A,0.006346436338274458,1900,2,36,23.5,0.0015687544436702693
Trehalose_13C-0,Trehalose,Fate1,36,Smp,B,0.02025984350068415,1900,2,36,23.5,0.005007963182122446
Trehalose_13C-0,Trehalose,Fate1,36,Smp,C,0.259841770912163,1900,2,36,23.5,0.0642294212125412
Trehalose_13C-0,Trehalose,Fate1,4,Smp,A,0.007473172286885743,1200,2,4.5,4.25,0.001847268547020997
Trehalose_13C-0,Trehalose,Fate1,4,Smp,B,0.0058084303809399105,1200,2,4.5,4.25,0.0014357665444299332
Trehalose_13C-0,Trehalose,Fate1,4,Smp,C,0.09642657936324942,1200,2,4.5,4.25,0.023835364730870414
Trehalose_13C-0,Trehalose,Fate1,50,Smp,A,0.05640175219933335,900,2,50,14,0.013941761120312547
Trehalose_13C-0,Trehalose,Fate1,50,Smp,B,0.10721284008017085,900,2,50,14,0.02650158456328383
Trehalose_13C-0,Trehalose,Fate1,50,Smp,C,0.007801386387123196,900,2,50,14,0.0019283986964116924
Trehalose_13C-0,Trehalose,Fate1,8,Smp,A,0.19270699125922944,1600,2,9,4.5,0.04763459881273139
Trehalose_13C-0,Trehalose,Fate1,8,Smp,B,2.3140246936785096,1600,2,9,4.5,0.5719960506147452
Trehalose_13C-0,Trehalose,Fate1,8,Smp,C,0.3577981013193364,1600,2,9,4.5,0.08844292000478904
Trehalose_13C-0,Trehalose,Fate1,96,Smp,A,0.46458466451414315,800,1.9,98,48,0.12088329958495017
Trehalose_13C-0,Trehalose,Fate1,96,Smp,B,0.5931908847594313,800,1.8,98,48,0.16292097500081626
Trehalose_13C-0,Trehalose,Fate1,96,Smp,C,0.27314812268230554,800,2,98,48,0.06751857395209684
Trehalose_13C-0,Trehalose,Fate2,0,Smp,A,0.009015795529811405,700,2,0.3,0,0.002228584444362315
Trehalose_13C-0,Trehalose,Fate2,0,Smp,B,0.008917228074081011,700,2,0.3,0,0.002204219883538505
Trehalose_13C-0,Trehalose,Fate2,0,Smp,C,0.019491584205471143,700,2,0.3,0,0.0048180597278030595
Trehalose_13C-0,Trehalose,Fate2,12,Smp,A,0.11618793661724246,1900,2,13,7,0.028720108759294108
Trehalose_13C-0,Trehalose,Fate2,12,Smp,B,0.12179261828956518,1900,2,13,7,0.03010551133960332
