Isotopologue,Experiment,p.value,sig
Choline_13C-4 15N-1,Fate1,5.641418398250654e-10,TRUE
Choline_13C-4 15N-1,Fate2,3.071520884180752e-11,TRUE
Choline_13C-5 15N-1,Fate1,1.5897846097744253e-9,TRUE
Choline_13C-5 15N-1,Fate2,1.110245618820194e-17,TRUE
Creatine_13C-0 15N-0,Fate1,1.5739250436845913e-5,TRUE
Creatine_13C-0 15N-0,Fate2,0.01850238256105042,TRUE
Creatine_13C-0 15N-1,Fate1,0.43393698763394495,FALSE
Creatine_13C-0 15N-1,Fate2,0.01027077165733843,TRUE
Creatine_13C-1 15N-0,Fate1,0.26771004165671614,FALSE
Creatine_13C-1 15N-0,Fate2,5.7638251688127065e-5,TRUE
Creatine_13C-2 15N-0,Fate1,3.835034588757148e-5,TRUE
Creatine_13C-2 15N-0,Fate2,5.923391246424766e-4,TRUE
Creatine_13C-3 15N-1,Fate1,4.350441907172833e-5,TRUE
Creatine_13C-3 15N-1,Fate2,0.14496481265710318,FALSE
Cytosine_13C-0 15N-0,Fate1,5.509491398986139e-5,TRUE
Cytosine_13C-0 15N-0,Fate2,2.8273199650353297e-6,TRUE
Cytosine_13C-0 15N-1,Fate1,6.586241776514515e-10,TRUE
Cytosine_13C-0 15N-1,Fate2,7.036750518681978e-10,TRUE
Cytosine_13C-1 15N-0,Fate1,0.003338023848148032,TRUE
Cytosine_13C-1 15N-0,Fate2,0.6343216270107292,FALSE
Cytosine_13C-1 15N-1,Fate2,6.539128329482384e-4,TRUE
Deoxyadenosine_13C-0 15N-0,Fate1,5.877226246453327e-9,TRUE
Deoxyadenosine_13C-0 15N-0,Fate2,1.5227343167429346e-11,TRUE
Deoxyadenosine_13C-0 15N-1,Fate1,0.001352301576659666,TRUE
Deoxyadenosine_13C-0 15N-1,Fate2,9.770570794871744e-7,TRUE
Deoxyadenosine_13C-1 15N-0,Fate1,1.5157395356341837e-9,TRUE
Deoxyadenosine_13C-1 15N-0,Fate2,5.9166589615095376e-8,TRUE
Deoxyadenosine_13C-1 15N-1,Fate1,0.027816376568847844,TRUE
Deoxyadenosine_13C-1 15N-1,Fate2,1.1540408852119436e-7,TRUE
Deoxyadenosine_13C-2 15N-0,Fate1,2.7102936149301208e-5,TRUE
Deoxyadenosine_13C-2 15N-0,Fate2,5.395622106666089e-8,TRUE
Deoxyadenosine_13C-2 15N-1,Fate1,0.14792486503782334,FALSE
Deoxyadenosine_13C-2 15N-1,Fate2,1.9864854747907214e-7,TRUE
Deoxyadenosine_13C-3 15N-0,Fate2,8.276847675176779e-5,TRUE
Deoxyadenosine_13C-3 15N-1,Fate1,0.04685593567551271,TRUE
Deoxyadenosine_13C-3 15N-1,Fate2,1.0099727063217387e-5,TRUE
Deoxyadenosine_13C-4 15N-1,Fate1,0.052043819080155644,FALSE
Deoxyadenosine_13C-4 15N-1,Fate2,4.976343225645312e-7,TRUE
Dimethylsulfoniopropionate_13C-0,Fate1,3.495498461902289e-4,TRUE
Dimethylsulfoniopropionate_13C-0,Fate2,4.024049199594146e-12,TRUE
Dimethylsulfoniopropionate_13C-1,Fate1,5.982926603707503e-4,TRUE
Dimethylsulfoniopropionate_13C-1,Fate2,1.216289806242171e-12,TRUE
Dimethylsulfoniopropionate_13C-2,Fate1,1.3569298455243426e-5,TRUE
Dimethylsulfoniopropionate_13C-2,Fate2,1.464623669385864e-9,TRUE
Dimethylsulfoniopropionate_13C-4,Fate1,0.4009924884267594,FALSE
Dimethylsulfoniopropionate_13C-4,Fate2,0.4044892820522944,FALSE
Glycerophosphocholine_13C-0 15N-0,Fate1,7.185000014925128e-13,TRUE
Glycerophosphocholine_13C-0 15N-0,Fate2,8.247219338592146e-17,TRUE
