type,SampID,Experiment,Timepoint,ionization,runDate,N.lab,C.lab,Precursor Ion Name,Protein Name,Fraction1,iso.mz,MID.mean,MID.sd,Area.filled.w.background.mean,Area.filled.w.background.sd
Smp,GBTFate1MT4,Fate1,4,IS,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,4.367267926381837e-4,7.564329938759316e-4,40152.333333333336,69545.88137577474
Smp,GBTFate1MT4,Fate1,4,IS,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.01032545526345469,0.006054061576628133,1681519,1240703.2952027651
Smp,GBTFate1MT4,Fate1,4,IS,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate1MT4,Fate1,4,neg,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9894359581312614,0.0020722323335301013,46228978,18737545.67002274
Smp,GBTFate1MT4,Fate1,4,neg,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9945609077246499,0.004759349714840446,104649671.66666667,36783065.13299474
Smp,GBTFate1MT4,Fate1,4,neg,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,23424,383.2518754031088
Smp,GBTFate1MT4,Fate1,4,neg,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.01056404186873864,0.002072232333530082,511641.6666666667,285253.3622209094
Smp,GBTFate1MT4,Fate1,4,neg,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.005439092275350126,0.004759349714840456,599485,640599.4452612334
Smp,GBTFate1MT4,Fate1,4,neg,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate1MT50,Fate1,50,IS,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9933716731754196,0.0017813274065788143,165460458.66666666,43609389.402489245
Smp,GBTFate1MT50,Fate1,50,IS,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9873683338237483,0.010974553139146246,350285170.3333333,74448861.82113908
