MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,12,Smp,C,0.002371320798416935
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,36,Smp,A,0.005874635987015067
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,36,Smp,B,0.003862208549949587
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,36,Smp,C,0.008393942765794466
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,4,Smp,A,0.0012097989992728333
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,4,Smp,B,0.0026893400385672394
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,4,Smp,C,0.0012247318909182567
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,50,Smp,A,0.002758204271963397
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,50,Smp,B,0.00271551825157357
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,50,Smp,C,0.004265917619106375
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,8,Smp,A,0.0011522313822378647
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,8,Smp,B,9.421601480097076e-4
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,8,Smp,C,0.001964912449782605
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,96,Smp,A,0.00497889845628949
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,96,Smp,B,0.003965766254142749
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,96,Smp,C,0.006171781605292299
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,0,Smp,A,0.0026365567740018843
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,0,Smp,B,0.0030810268893856057
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,0,Smp,C,0.0019318084867244257
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,12,Smp,A,0.0034750152166470208
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,12,Smp,B,0.002999311854709425
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,12,Smp,C,0.0035509599874885608
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,24,Smp,A,0.0024798354550512056
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,24,Smp,B,0.0031102601136117443
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,24,Smp,C,0.0028195497960113417
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,48,Smp,A,0.0023690283869648547
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,48,Smp,B,0.004022424494136478
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,48,Smp,C,0.00383955893066806
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,5,Smp,A,0.001924084195770514
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,5,Smp,B,0.00226908511670098
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,5,Smp,C,0.002765620701674943
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,96,Smp,A,0.0013755561751610233
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,96,Smp,B,0.0027898566105692578
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate2,96,Smp,C,0.0031437899542584614
Xanthine_13C-0 15N-0,Xanthine,Fate1,0,Smp,A,0.0930920544318225
Xanthine_13C-0 15N-0,Xanthine,Fate1,0,Smp,B,0.0902800745948616
Xanthine_13C-0 15N-0,Xanthine,Fate1,0,Smp,C,0.10856402336350256
Xanthine_13C-0 15N-0,Xanthine,Fate1,12,Smp,A,0.11105325034476399
Xanthine_13C-0 15N-0,Xanthine,Fate1,12,Smp,B,0.08917283942358044
Xanthine_13C-0 15N-0,Xanthine,Fate1,12,Smp,C,0.07768510735707564
Xanthine_13C-0 15N-0,Xanthine,Fate1,36,Smp,A,0.19160794071532014
Xanthine_13C-0 15N-0,Xanthine,Fate1,36,Smp,B,0.06519007372454601
Xanthine_13C-0 15N-0,Xanthine,Fate1,36,Smp,C,0.08984040648007305
Xanthine_13C-0 15N-0,Xanthine,Fate1,4,Smp,A,0.06846403194220237
Xanthine_13C-0 15N-0,Xanthine,Fate1,4,Smp,B,0.1451296298755191
Xanthine_13C-0 15N-0,Xanthine,Fate1,4,Smp,C,0.07051761256960454
Xanthine_13C-0 15N-0,Xanthine,Fate1,50,Smp,A,0.14912080025826918
Xanthine_13C-0 15N-0,Xanthine,Fate1,50,Smp,B,0.12077247284130853
Xanthine_13C-0 15N-0,Xanthine,Fate1,50,Smp,C,0.10590329334847559
Xanthine_13C-0 15N-0,Xanthine,Fate1,8,Smp,A,0.028548982441892405
Xanthine_13C-0 15N-0,Xanthine,Fate1,8,Smp,B,0.07755067574681264
Xanthine_13C-0 15N-0,Xanthine,Fate1,8,Smp,C,0.1081497251358057
Xanthine_13C-0 15N-0,Xanthine,Fate1,96,Smp,A,0.13646496844189654
Xanthine_13C-0 15N-0,Xanthine,Fate1,96,Smp,B,0.028065416147709424
Xanthine_13C-0 15N-0,Xanthine,Fate1,96,Smp,C,0.018079590868931284
Xanthine_13C-0 15N-0,Xanthine,Fate2,0,Smp,A,1.0361283980945537
Xanthine_13C-0 15N-0,Xanthine,Fate2,0,Smp,B,1.1761017836077778
Xanthine_13C-0 15N-0,Xanthine,Fate2,0,Smp,C,0.7164693296382989
Xanthine_13C-0 15N-0,Xanthine,Fate2,12,Smp,A,0.05177381960244119
Xanthine_13C-0 15N-0,Xanthine,Fate2,12,Smp,B,0.08764375659512191
Xanthine_13C-0 15N-0,Xanthine,Fate2,12,Smp,C,0.781252883850491
