MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,96,Smp,C,0.4636796361545822,800,2,98,48,0.114615423662264
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,0,Smp,A,0.1157889236397511,700,2,0.3,0,0.02862147807143128
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,0,Smp,B,0.08504566029148417,700,2,0.3,0,0.021022153281917668
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,0,Smp,C,0.0932128165045842,700,2,0.3,0,0.02304096540237982
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,12,Smp,A,0.14659551549853145,1900,2,13,7,0.03623645682436366
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,12,Smp,B,0.11137240493599243,1900,2,13,7,0.027529773534778184
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,12,Smp,C,0.16349758592635655,1900,2,13,7,0.040414423273182995
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,24,Smp,A,0.12695794799911633,700,2,25,12,0.03138231197274157
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,24,Smp,B,0.09991135713720435,700,2,25,12,0.02469675533288842
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,24,Smp,C,0.14664001020116005,700,2,25,12,0.036247455321590745
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,48,Smp,A,0.15632964901525648,900,2,51,26,0.0386426048412512
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,48,Smp,B,0.16782671163403057,900,2,51,26,0.04148452542644391
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,48,Smp,C,0.2122860231249982,900,2,51,26,0.052474274436191216
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,5,Smp,A,0.09370467964820615,1300,2,6,5.75,0.023162547413307918
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,5,Smp,B,0.11824588543496783,1300,2,6,5.75,0.02922880626771825
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,5,Smp,C,0.06741769823488797,1300,2,6,5.75,0.016664756101021173
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,96,Smp,A,0.15460836083053994,1000,2,100,49,0.038217125352498396
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,96,Smp,B,0.13457909288472228,1000,2,100,49,0.03326615737319822
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,96,Smp,C,0.16847382599145092,1000,2,100,49,0.04164448346740678
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,0,Smp,A,0.03998489469530046,900,2,0.5,0,0.009883732836749004
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,0,Smp,B,0.012555108674337265,900,2,0.5,0,0.003103455462847181
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,0,Smp,C,0.04940516601962168,900,1.95,0.5,0,0.012525434158465182
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,12,Smp,A,0.051725077460247716,1930,2,12.5,3.5,0.012785749480473766
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,12,Smp,B,0.04645878597215975,1930,2,12.5,3.5,0.011483992441838262
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,12,Smp,C,0.04689443384029729,1930,2,12.5,3.5,0.011591678786203619
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,36,Smp,A,0.11065012126970664,1900,2,36,23.5,0.02735123464292122
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,36,Smp,B,0.08755866172858845,1900,2,36,23.5,0.021643333730484018
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,36,Smp,C,0.13752309752416766,1900,2,36,23.5,0.03399387606667393
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,4,Smp,A,0.03850522047493147,1200,2,4.5,4.25,0.009517977098463394
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,4,Smp,B,0.05739880760414883,1200,2,4.5,4.25,0.014188219922310868
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,4,Smp,C,0.04552484276202866,1200,2,4.5,4.25,0.01125313413286999
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,50,Smp,A,0.10826426236766577,900,2,50,14,0.026761482133788747
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,50,Smp,B,0.07048089948635859,900,2,50,14,0.017421938607701363
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,50,Smp,C,0.05644658453432759,900,2,50,14,0.013952843075758658
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,8,Smp,A,0.03589366488240838,1600,2,9,4.5,0.008872435376732919
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,8,Smp,B,0.0867333924835256,1600,2,9,4.5,0.021439338176694415
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,8,Smp,C,0.07832238839366752,1600,2,9,4.5,0.019360250112402697
